,id,name,host_id,City,host_name,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,Construction year,cancellation_policy,country,instant_bookable,price,review rate number,room type,service_fee
0,77765,Superior @ Box House,417504,New York,The Box House Hotel,2,42,07-18-2022,30,217,2020.0,strict,United States,False,966.0,4.0,Private room,193.0
1,2539,Clean & quiet apt home by the park,2787,New York,John,30,9,10-19-2018,9,356,2007.0,moderate,United States,False,142.0,4.0,Entire home/apt,28.0
2,45910,Beautiful Queens Brownstone! - 5BR,204539,New York,Mark,30,13,11-12-2019,6,365,2009.0,moderate,United States,False,204.0,3.0,Entire home/apt,41.0
3,45936,Couldn't Be Closer To Columbia Uni,867225,New York,Rahul,31,135,07-11-2022,1,219,2013.0,flexible,United States,True,577.0,3.0,Entire home/apt,115.0
4,80493,Cozy room in East Village with AC,434987,New York,Jennifer,2,207,08-13-2022,1,132,2015.0,moderate,United States,False,71.0,5.0,Private room,14.0
5,46911,Large Room in private Brownstone in Park Slope,210746,New York,Kathleen R.,3,65,08-21-2022,3,319,2005.0,strict,United States,True,1018.0,3.0,Private room,204.0
6,49048,B and B Style Rooms for Rent w bath,35935,New York,Angela,30,23,04-30-2022,5,249,2015.0,strict,United States,False,291.0,5.0,Private room,58.0
7,2595,Skylit Midtown Castle,2845,New York,Jennifer,30,49,06-21-2022,3,280,2004.0,flexible,United States,False,319.0,3.0,Entire home/apt,64.0
8,5121,BlissArtsSpace!,7356,New York,Garon,30,50,12-02-2019,2,335,2008.0,flexible,United States,True,606.0,4.0,Entire home/apt,121.0
9,5136,"Spacious Brooklyn Duplex, Patio + Garden",7378,New York,Rebecca,21,3,08-10-2022,1,179,2010.0,moderate,United States,True,580.0,4.0,Private room,116.0
10,80924,Spacious 3 Bedroom Duplex in Park Slope,438133,New York,Ellis,30,37,02-18-2020,2,37,2019.0,flexible,United States,False,149.0,3.0,Private room,30.0
11,82638,"Charming Artist's Flat, East Village",449787,New York,Sarah,30,276,03-08-2022,1,344,2005.0,moderate,United States,True,1097.0,3.0,Entire home/apt,219.0
12,5178,Large Furnished Room Near B'way　,8967,New York,Shunichi,2,550,08-22-2022,1,160,2012.0,moderate,United States,True,1010.0,5.0,Shared room,202.0
13,82928,BEAUTIFUL 2 BEDROOM APARTMENT,451545,New York,Ruthven,30,76,06-01-2022,1,127,2005.0,strict,United States,False,563.0,3.0,Private room,113.0
14,5203,Cozy Clean Guest Room - Family Apt,7490,New York,MaryEllen,2,118,07-21-2017,1,0,2020.0,flexible,United States,True,370.0,2.0,Entire home/apt,74.0
15,5803,"Lovely Room 1 in BEST AREA; Legal Rental, Spotless",9744,New York,Laurie,4,216,08-23-2022,3,299,2008.0,strict,United States,False,687.0,1.0,Private room,137.0
16,6848,Only 2 stops to Manhattan studio,15991,New York,Allen & Irina,30,185,07-07-2022,1,274,2017.0,strict,United States,False,856.0,3.0,Private room,171.0
17,83243,Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!,453519,New York,Julian,30,253,07-18-2022,1,311,2017.0,strict,United States,False,589.0,1.0,Entire home/apt,118.0
18,89621,wonderful sleep 4,209460,New York,Marylyn Palmer,30,240,06-15-2022,3,264,2005.0,flexible,United States,True,839.0,1.0,Private room,168.0
19,52689,Sunny 2BR near subway & shops,244071,New York,Litza,4,38,09-05-2022,1,173,2011.0,strict,United States,False,528.0,2.0,Entire home/apt,106.0
20,6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,New York,Kae,30,1,06-05-2022,2,211,2014.0,strict,United States,True,66.0,1.0,Private room,13.0
21,6990,UES Beautiful Blue Room,16800,New York,Cyn,30,239,08-31-2022,1,278,2014.0,flexible,United States,True,761.0,4.0,Private room,152.0
22,93313,MAISON DES SIRENES 2,25183,New York,Nathalie,2,136,08-15-2022,2,300,2004.0,strict,United States,True,631.0,3.0,Entire home/apt,126.0
23,7064,"Amazing location! Wburg. Large, bright & tranquil",17297,New York,Joelle,7,11,08-16-2022,2,24,2005.0,flexible,United States,True,449.0,3.0,Entire home/apt,90.0
24,7097,Perfect for Your Parents:  Privacy + Garden,17571,New York,Jane,2,303,09-05-2022,2,19,2018.0,moderate,United States,False,930.0,4.0,Private room,186.0
25,94209,Large Sunny 1BR (Conv 2BR) Apt in Crown Heights Bk,503800,New York,Peace,1,38,08-20-2022,1,73,2006.0,strict,United States,False,329.0,4.0,Entire home/apt,66.0
26,7801,Sweet and Spacious Brooklyn Loft,21207,New York,Chaya,30,9,12-28-2011,1,342,2006.0,flexible,United States,False,1125.0,2.0,Private room,225.0
27,94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",473113,New York,Keishera,6,137,08-30-2022,1,298,2020.0,moderate,United States,True,96.0,4.0,Private room,19.0
28,54694,(H) Great Deal/Pvt Rm,27848,New York,Jullett,30,62,01-01-2018,4,0,2003.0,moderate,United States,False,1133.0,5.0,Private room,227.0
29,9357,Midtown Pied-a-terre,30193,New York,Tommi,30,58,08-13-2017,1,0,2014.0,strict,United States,True,162.0,4.0,Private room,32.0
30,95883,Spacious Loft in Clinton Hill / Bed-Stuy,509918,New York,Eduardo,6,7,08-04-2022,1,0,2009.0,moderate,United States,False,944.0,3.0,Private room,189.0
31,9704,Spacious 1 bedroom in luxe building,32045,New York,Teri,30,98,03-14-2020,1,191,2009.0,moderate,United States,True,505.0,2.0,Private room,101.0
32,10183,Private Room in Upper Manhattan apartment,34866,New York,Muriel,5,6,08-31-2019,1,42,2009.0,strict,United States,True,113.0,2.0,Private room,23.0
33,54860,Great apartment with private bathroom and entrance,258164,New York,Jenny,5,267,09-02-2022,1,237,2016.0,strict,United States,True,385.0,2.0,Private room,77.0
34,96471,"The Brooklyn Waverly, One Bedroom",116599,New York,Sahr,30,13,12-10-2019,2,364,2021.0,flexible,United States,False,950.0,1.0,Entire home/apt,190.0
35,55587,Sunny 2BR Midcentury Penthouse in Williamsburg,131716,New York,Daniel,3,20,08-21-2022,1,54,2021.0,strict,United States,False,374.0,2.0,Entire home/apt,75.0
36,98663,Groovy NYC Chelsea Pad,520279,New York,Peter Michael,30,19,06-11-2018,1,280,2011.0,flexible,United States,False,375.0,4.0,Entire home/apt,75.0
37,12192,ENJOY Downtown NYC!,46978,New York,Edward,7,282,08-29-2022,2,33,2004.0,strict,United States,True,925.0,3.0,Private room,185.0
38,12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,New York,Orestes,3,335,08-26-2022,1,86,2008.0,moderate,United States,False,842.0,5.0,Entire home/apt,168.0
39,100186,Large Brand New Park Slope 1BR,526805,New York,Mi,30,114,08-16-2022,1,49,2003.0,strict,United States,True,1015.0,4.0,Private room,203.0
40,12940,Charming Brownstone 3 - Near PRATT,50148,New York,Adreinne,30,73,06-04-2022,1,1,2014.0,moderate,United States,False,503.0,5.0,Private room,101.0
41,55959,Work From Our Home w/ Loft,168525,New York,Gus,5,94,05-22-2022,2,22,2006.0,flexible,United States,True,483.0,1.0,Private room,97.0
42,100368,Greenwich Village Brownstone -- Huge Private Deck,526105,New York,Scott,30,35,05-31-2021,1,303,2005.0,strict,United States,False,176.0,4.0,Entire home/apt,35.0
43,55982,Cozy 2 br in sunny Fort Greene apt,264928,New York,Sally,3,40,09-02-2022,1,0,2020.0,flexible,United States,False,185.0,4.0,Private room,37.0
44,56859,City Room - Private & Comfy Bedroom,256161,New York,Wayne,3,239,08-16-2022,2,27,2022.0,strict,United States,False,387.0,4.0,Entire home/apt,77.0
45,13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,New York,JT And Tiziana,1,169,08-20-2022,3,253,2008.0,flexible,United States,False,1155.0,5.0,Private room,231.0
46,101053,Colorful Artistic Williamsburg Apt w/ 3 Bedrooms,530032,New York,Lee And Tara,60,38,07-12-2021,1,0,2017.0,strict,United States,False,665.0,1.0,Entire home/apt,133.0
